BELTUSE_BIN	BAGDEPLOY_BIN	SEATPOS	DV_MPH	file_path	HIC15	T1_15	T2_15	HIC36	T1_36	T2_36	PEAK_LACC	PEAK_AACC	PEAK_LACC_g
0	1	11	23	data/minimal_simulations/23_mph/driver/nobelt/airbag/madymo/madymo.peak	48.13	86	101	87.773	68	104	275.84	1628.2	28.11824668705402
1	1	11	23	data/minimal_simulations/23_mph/driver/belt/airbag/madymo/madymo.peak	144.34	75	90	207.6	65	101	409.32	2562.9	41.72477064220183
0	0	13	23	data/minimal_simulations/23_mph/pass/nobelt/noairbag/madymo/madymo.peak	4319.2	85.2	87.7	4319.2	85.2	87.7	3609.2	23581	367.9102956167176
1	0	13	23	data/minimal_simulations/23_mph/pass/belt/noairbag/madymo/madymo.peak	67.448	79.8	94.8	128.15	71.3	107.3	287.27	976.65	29.283384301732923
0	1	13	23	data/minimal_simulations/23_mph/pass/nobelt/airbag/madymo/madymo.peak	55.719	85	100	97.369	73	109	279.07	2124.1	28.447502548419976
1	1	13	23	data/minimal_simulations/23_mph/pass/belt/airbag/madymo/madymo.peak	50.184	79.6	94.6	95.946	61.2	97.2	266.26	1974.2	27.14169215086646
0	0	11	24	data/minimal_simulations/24_mph/driver/nobelt/noairbag/madymo/madymo.peak	5661.7	83	93	5661.7	83	93	4196.1	27779	427.737003058104
1	0	11	24	data/minimal_simulations/24_mph/driver/belt/noairbag/madymo/madymo.peak	204.13	84	99	255.85	74	110	918.16	6116.1	93.59429153924566
0	1	11	24	data/minimal_simulations/24_mph/driver/nobelt/airbag/madymo/madymo.peak	68.258	89	104	114.4	69	105	451.64	2702.6	46.03873598369011
1	1	11	24	data/minimal_simulations/24_mph/driver/belt/airbag/madymo/madymo.peak	144.48	73	88	193.11	62	98	418.86	2670.6	42.69724770642202
0	0	13	24	data/minimal_simulations/24_mph/pass/nobelt/noairbag/madymo/madymo.peak	5275.6	83.3	85.9	5275.6	83.3	85.9	3929.5	25722	400.56065239551475
1	0	13	24	data/minimal_simulations/24_mph/pass/belt/noairbag/madymo/madymo.peak	74.473	78.4	93.4	141.59	70.8	106.8	298.36	1114.7	30.413863404689092
0	1	13	24	data/minimal_simulations/24_mph/pass/nobelt/airbag/madymo/madymo.peak	72.581	83.5	98.5	120.66	71.5	107.5	307.67	1447.3	31.36289500509684
